Typ;Nr.;Name;d;X;Y;latitude;longitude;Untergeordnete Exportnummer;HAFAS Nr.
Zwischenpunkt;71;Ladenstr.aße(Treppe zum Zwischengeschoss Ladenstraße);0;4594349;5821679;52.520.083;13.388.473;9702071;
Zwischenpunkt;73;Ladenstraße (Rolltreppe zum Bahnsteig Gleis 3,4);0;4594349;5821679;52.520.083;13.388.473;9702073;
Zwischenpunkt;79;Zwischenebene (Treppe1  zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520.092;13.388.488;9702079;
Zwischenpunkt;87;Bahnsteig S5/7/75/3 (Rolltreppe zur Ladenstraße/Verteiler S1/2/25);3;4594349;5821679;52.520.083;13.388.473;9702087;
Zwischenpunkt;92;Brücke (Treppe zum Bahnsteig S5/7/75/3);2;4594350;5821680;52.520.092;13.388.488;9702092;
Zwischenpunkt;88;Bahnsteig S5/7/75/3 (Treppe2 zur Zwischenebene);3;4594349;5821680;52.520.092;13.388.473;9702088;
Zwischenpunkt;97;Bahnsteig Gleis 3/4 (Treppe zur Ladenstraße);3;4594350;5821680;52.520.092;13.388.488;9702097;
Zwischenpunkt;100;Bahnsteig Gleis 1/2  (Aufzug zur Ladenstraße);3;4594350;5821680;52.520.092;13.388.488;9702100;
Zwischenpunkt;102;Bahnsteig Gleis 1/2  (Rolltreppe zum Zwischengeschoss Ladenstraße);3;4594350;5821680;52.520.092;13.388.488;9702102;
Zwischenpunkt;32;Bahnsteig U6 (Treppe2 zum Zwischengeschoss Georgenstraße);-3;4594349;5821679;52.520.083;13.388.473;9702032;
Zugang;7;Zugang (Treppe) Schiffbauerdamm;0;4594107;5821756;52.520.817;13.384.931;9702007;
Zwischenpunkt;52;Bahnsteig S1/2/25 (Rolltreppe zum Zwischengeschoss Spreeufer);-3;4594349;5821679;52.520.083;13.388.473;9702052;
Zwischenpunkt;103;Zwischengeschoss Ladenstraße (Treppe zur Zwischenebene);1;4594350;5821680;52.520.092;13.388.488;9702103;
Zwischenpunkt;28;Bahnsteig U6 (Rolltreppe zum Zwischengeschoss Spreeufer);-3;4594349;5821680;52.520.092;13.388.473;9702028;
